Exploitation;Execution_Time
1;7.796475172042847
2;7.982340335845947
3;8.024039030075073
4;7.693641662597656
5;8.330808639526367
1;5.814913034439087
2;6.278088808059692
3;6.311481714248657
4;5.766051292419434
1;4.839624643325806
2;5.366034984588623
3;6.4918742179870605
1;5.1994102001190186
2;3.1596436500549316
1;6.184747934341431
2;6.149143934249878
3;5.879949569702148
1;4.613014221191406
2;4.870326280593872
3;5.398794651031494
4;5.073092699050903
1;5.721805095672607
2;6.284669876098633
1;10.8750159740448
2;10.151434421539307
3;9.187615633010864
4;7.886295795440674
5;7.9364049434661865
6;8.055116891860962
1;6.370480537414551
2;6.661782503128052
3;4.295687437057495
1;6.031292676925659
2;6.564758777618408
3;6.672484397888184
4;6.258777379989624
5;6.089670896530151
6;7.055393218994141
1;6.257410287857056
2;6.853933811187744
3;6.834233283996582
4;6.417791366577148
5;6.14432430267334
6;5.910323858261108
1;6.440681457519531
1;6.181707859039307
1;5.722168445587158
2;5.850021123886108
1;5.909827709197998
1;5.652486085891724
2;5.728881120681763
3;5.752161741256714
4;5.8075597286224365
1;5.506771087646484
2;6.032366991043091
3;5.709842920303345
4;5.808467149734497
5;6.029368877410889
1;6.424453020095825
2;5.851802110671997
3;5.704116344451904
1;5.967267990112305
1;17.159061670303345
2;24.829630136489868
3;23.86584758758545
4;12.520584106445312
5;16.333374977111816
1;6.7362892627716064
2;5.937918663024902
3;11.65459680557251
4;7.09797215461731
1;5.641265392303467
2;6.627346515655518
3;6.795294761657715
1;5.481252193450928
1;6.281188726425171
2;6.502352476119995
1;4.914304494857788
2;4.972327947616577
1;4.8223183155059814
2;4.7951273918151855
1;5.140346050262451
2;5.024003744125366
1;4.91846489906311
2;4.989419937133789
3;5.682990789413452
4;4.73018479347229
5;5.115130662918091
6;5.558473110198975
1;4.668272495269775
2;4.757982969284058
3;4.6362831592559814
4;4.787033557891846
5;5.430056810379028
6;5.453671932220459
1;4.966773748397827
2;5.564218759536743
3;5.97930121421814
4;5.553388357162476
5;6.103736162185669
6;5.814932584762573
1;5.430722236633301
2;5.916749954223633
3;5.685031414031982
4;5.778485298156738
5;5.955726146697998
6;6.038905382156372
1;4.938920497894287
2;5.642426013946533
3;5.43402886390686
4;5.430503845214844
5;5.63910436630249
6;4.992928504943848
1;4.759174823760986
2;5.1249120235443115
3;5.125971078872681
4;5.362086534500122
5;5.453341245651245
6;5.097024440765381
1;5.280668497085571
2;5.65418815612793
3;5.60688853263855
4;5.782260179519653
5;5.746218681335449
6;5.706982851028442
1;7.094718933105469
2;5.654844760894775
3;4.853314161300659
4;5.874925374984741
5;6.001161098480225
6;5.955502510070801
1;7.009598255157471
2;7.1646647453308105
3;6.656449794769287
4;6.663408041000366
5;6.524381160736084
6;6.6842873096466064
1;6.6274895668029785
2;6.831705093383789
3;6.335536003112793
4;5.920506954193115
5;5.784956932067871
6;5.7973222732543945
1;5.554503917694092
2;6.240577936172485
3;5.8263304233551025
4;5.913370370864868
5;5.956179618835449
6;6.749305009841919
1;4.98271918296814
2;5.081815481185913
3;4.959163427352905
4;4.984138011932373
5;5.963234901428223
6;5.992618083953857
1;5.161103010177612
2;5.032253265380859
3;4.860131740570068
4;4.87716269493103
5;5.9845545291900635
6;5.702568531036377
